Month,ID,TYPE,NET_SHEET,INTEREST,TURNOVER,TOTAL_TURNOVER,TURNOVER_COST,ID_COST,PERCENTAGE,TURNOVER_CHARGES,TURNOVER_PROFIT,NET_TOTAL,AFTER_ID,FINAL_OUTPUT
2023-02,KBPH86,BID,289328,55443,94332,10,9000,17000,75,90000.0,4332,238217,221217,165912.75
2023-02,KBPH96,BID,173442,56715,86196,9.15,9000,17000,75,82350.0,3846,120573,103573,77679.75
